container_id,container_type,material,weight_kg,age_months,usage_count,damage_level,structural_condition,cleanliness_score,contamination,repair_required,repair_cost,refurbishment_cost,resale_value,recycling_value,disposal_cost,carbon_repair,carbon_refurbish,carbon_resell,carbon_recycle,carbon_dispose,recyclable,safety_risk,location,sensor_available,network_available,inspection_completeness,final_disposition
CON-100000,Box,Cardboard,1.64,16,18,None,Safe,76.1,Chemical,False,0.0,7.64,13.01,0.12,13.53,3.2,1.21,0.03,0.66,1.97,True,Medium,Facility D,True,True,1.0,Resell
CON-100001,Tote,Plastic,6.15,46,112,High,,70.99,None,True,20.23,21.55,0.0,1.11,6.54,2.24,2.34,0.12,6.39,19.18,True,High,Hub B,False,True,1.0,Recycle
CON-100002,Pallet,Plastic,5.05,25,19,None,Safe,78.09,None,False,0.0,12.69,37.79,1.06,6.26,3.61,2.06,0.1,5.25,15.74,True,Low,Terminal E,True,True,1.0,Resell
CON-100003,Tote,Plastic,6.19,46,32,None,Safe,70.41,Organic,False,0.0,13.64,20.89,1.33,6.55,3.74,2.35,0.12,6.43,19.3,True,Low,Warehouse A,False,True,1.0,Resell
CON-100004,Pallet,Plastic,5.65,43,55,Medium,Minor Damage,70.73,None,True,10.92,17.39,21.49,1.05,6.41,1.18,2.21,0.11,5.88,17.64,True,Medium,Facility D,True,False,1.0,Resell
CON-100005,Box,Cardboard,1.69,52,75,None,Safe,83.01,Chemical,False,0.0,12.3,5.36,0.14,13.56,3.2,1.22,0.03,0.68,2.03,True,Medium,Depot C,True,True,1.0,Resell
CON-100006,Drum,Metal,27.18,16,43,Medium,Moderate Damage,68.99,None,True,24.8,26.95,89.18,13.21,11.79,3.76,7.59,0.54,59.79,179.38,True,Medium,Hub B,False,True,1.0,Resell
CON-100007,Pallet,Wood,22.34,28,64,Low,Minor Damage,75.75,None,False,2.53,17.54,32.54,0.0,10.58,5.68,6.38,0.45,3.57,10.72,False,Low,Terminal E,True,True,1.0,Resell
CON-100008,Crate,Metal,28.08,19,34,None,Safe,93.1,None,False,0.0,16.43,62.0,14.66,12.02,6.37,7.82,0.56,61.78,185.34,True,Low,Terminal E,True,False,1.0,Resell
CON-100009,Crate,Metal,30.09,13,12,Low,Safe,81.42,None,False,4.05,15.99,71.45,13.54,12.52,6.61,8.32,0.6,66.2,198.61,True,Low,Depot C,False,True,1.0,Resell
CON-100010,Crate,Wood,16.46,57,125,High,Moderate Damage,72.43,None,True,29.8,28.64,14.36,0.0,9.12,3.48,4.92,0.33,2.63,7.9,False,Medium,Terminal E,True,True,1.0,Resell
CON-100011,Pallet,Plastic,6.07,39,69,Low,Safe,58.33,None,False,2.69,20.65,24.8,1.26,6.52,3.73,2.32,0.12,6.31,18.93,True,Low,Facility D,True,True,1.0,Resell
CON-100012,Pallet,Wood,16.51,2,4,Low,Safe,81.55,None,False,2.71,10.67,43.81,0.0,9.13,4.98,4.93,0.33,2.64,7.93,False,Low,Warehouse A,True,True,1.0,Resell
CON-100013,Box,Cardboard,1.37,32,36,None,Safe,71.1,None,False,0.0,10.19,9.82,0.11,5.34,3.16,1.14,0.03,0.55,1.64,True,Low,Hub B,False,True,1.0,Resell
CON-100014,Drum,Plastic,5.82,30,92,Medium,Minor Damage,61.4,None,True,20.14,32.99,67.92,1.14,6.45,1.2,2.25,0.12,6.05,18.15,True,Medium,Depot C,True,True,1.0,Resell
CON-100015,Pallet,Plastic,5.24,30,37,Low,Safe,79.31,None,False,2.55,14.3,33.56,0.95,6.31,3.63,2.11,0.1,5.45,16.35,True,Low,Terminal E,True,True,1.0,Resell
CON-100016,Pallet,Plastic,5.97,14,43,None,Safe,86.46,Chemical,False,0.0,13.83,34.85,1.17,16.23,3.72,2.29,0.12,6.2,18.61,True,Medium,Facility D,True,True,1.0,Resell
CON-100017,Tote,Plastic,5.17,19,21,High,Moderate Damage,78.42,None,True,19.79,11.34,30.98,0.94,6.29,2.12,2.09,0.1,5.38,16.14,True,Medium,Terminal E,False,False,1.0,Resell
CON-100018,Box,Cardboard,1.71,5,11,None,Safe,85.69,None,False,0.0,5.5,15.15,0.14,5.43,3.21,1.23,0.03,0.68,2.05,True,Low,Terminal E,True,False,1.0,Resell
CON-100019,Tote,Plastic,7.04,14,35,Low,Minor Damage,85.84,None,False,2.14,11.62,30.94,1.35,6.76,3.85,2.56,0.14,7.33,21.98,True,Low,Depot C,True,True,1.0,Resell
CON-100020,Box,Cardboard,1.52,33,42,None,Safe,65.17,None,False,0.0,11.67,9.46,0.12,5.38,3.18,1.18,0.03,0.61,1.83,True,Low,Hub B,False,False,1.0,Resell
CON-100021,Tote,Plastic,6.4,36,50,None,Safe,61.83,Organic,False,0.0,16.73,20.02,1.18,6.6,3.77,2.4,0.13,6.66,19.98,True,Low,Warehouse A,True,True,1.0,Resell
CON-100022,Crate,Wood,21.5,55,71,Low,Minor Damage,78.27,None,False,3.28,22.36,26.65,0.0,10.37,5.58,6.17,0.43,3.44,10.32,False,Low,Facility D,True,True,0.81,Resell
CON-100023,Crate,Wood,21.93,36,94,Low,Safe,77.84,None,False,4.31,24.72,39.38,0.0,10.48,5.63,6.28,0.44,3.51,10.53,False,Low,Hub B,True,True,1.0,Resell
CON-100024,Pallet,Wood,18.47,58,191,Medium,Minor Damage,34.83,None,True,9.0,36.38,4.71,0.0,9.62,2.72,5.42,0.37,2.95,8.86,False,Medium,Warehouse A,True,False,1.0,Resell
CON-100025,Tote,Plastic,7.02,16,49,High,Moderate Damage,63.76,None,True,19.7,16.34,26.86,1.36,6.76,2.34,2.56,0.14,7.3,21.91,True,Medium,Facility D,True,True,1.0,Resell
CON-100026,Drum,Metal,34.3,15,16,High,Unsafe,86.31,Organic,True,62.02,21.65,0.0,16.2,13.58,5.62,9.38,0.69,75.47,226.4,True,High,Hub B,False,True,1.0,Recycle
CON-100027,Box,Plastic,5.64,33,56,Medium,Moderate Damage,60.62,Organic,True,3.56,13.76,7.73,1.06,6.41,1.18,2.21,0.11,5.87,17.61,True,Medium,Depot C,True,True,1.0,Resell
CON-100028,Crate,Plastic,6.25,33,27,None,Safe,86.96,None,False,0.0,16.66,51.34,1.13,6.56,3.75,2.36,0.13,6.51,19.52,True,Low,Terminal E,True,True,1.0,Resell
CON-100029,Crate,Metal,27.77,55,48,None,Safe,75.19,None,False,0.0,20.52,29.27,13.4,11.94,6.33,7.74,0.56,61.09,183.26,True,Low,Depot C,True,True,1.0,Resell
CON-100030,Pallet,Plastic,5.77,54,27,None,Safe,88.29,None,False,0.0,11.96,21.46,1.18,6.44,3.69,2.24,0.12,6.01,18.02,True,Low,Depot C,False,True,1.0,Resell
CON-100031,Drum,Metal,31.91,19,38,Medium,Moderate Damage,,None,True,21.45,23.36,96.04,15.35,12.98,4.33,8.78,0.64,70.19,210.58,True,Medium,Hub B,True,True,1.0,Resell
CON-100032,Tote,Plastic,5.89,57,136,Medium,Minor Damage,51.25,None,True,7.68,26.91,6.17,1.1,6.47,1.21,2.27,0.12,6.13,18.39,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100033,Tote,Plastic,4.92,16,52,None,Safe,75.91,None,False,0.0,14.81,31.21,1.02,6.23,3.59,2.03,0.1,5.12,15.35,True,Low,Terminal E,True,True,1.0,Resell
CON-100034,Tote,Plastic,6.79,36,66,None,Safe,64.49,Hazardous,False,0.0,17.93,0.0,0.0,40.19,3.82,2.5,0.14,7.07,21.2,False,High,Depot C,True,True,1.0,Dispose
